1;text
2;I ordered on Jan 1 and the total for 4 med pizza and wings came up to over $50. The stuffed crust pizza cost me extra money but it did not show on the website. Regardless, the pizza crust tasted like cardboard and Pizza pizza is way better. They cheaped out on the toppings and my chicken and hamm pizza only had a few pieces on chicken where only 2 slices and 2 small pieces of chicken on it. for the price, i could have gotten more and better pizza somewhere else. I am very disappointed with this location. They also ran out of shrimp which was advertised on the website but i ordered early so i am assuming they did not want to give me shrimp. made a complaint to pizza hut and no response.
3;The service was soooo slow, impolite staff, and the food was uncooked. I really don't recommend it.
4;By far this is the worst pizza Hut location I had ever been. I went over there with my wife. To begin with our waiter kept us waiting for more than 15 minutes just to take the order. After we ordered we waited more than 45 minutes to get our pizza. When we got our pizza it was cold. We called the waiter to explain all the situation and then the manager came and apologized for the whole situation. We didn't see any reason why our pizza took so long to be served as we where the only ones in the restaurant. I don't recommend this location, very bad customer service
5;I live in the area and often eat here. But recently they have changed management and staff and have to say I am incredibly disappointed with the service.The new manager is some young guy who's ego is way bigger than it should be. and the server had a bad attitude and didn't do a good at replenishing drinks or cleaning tables. Went for the lunch buffet  when it first started and there was no selection. All pizza was old and cold. Very very disappointing.
6;Pizza Hut hung up on me. I wanted a Big Mac with a side of krabby patty but they said no because you are a...
7;Worst Pizza Hut. Not many people working in this location. Order takes forever, pizza came out cold. Toppings were sparsely placed. Definitely not recommended.
8;Definitely one of the WORST restaurants I have ever been to. OK so I came for the lunch buffet. The food was cold and dry and no new food came out for 15 minutes. The floor was dirty and our table was dirty with pizza sauce on it. When my drink was served to me there were particles floating around in it. There was a waiter of Asian descent working that day that was picking up food from the floor with his bare hands in front of customers, VERY BIG TURN OFF! Not the best customer service skills either. They seemed very understaffed. Further more that location is very old and dated. Like when they changed the pizza hut logo it would have only made sense to updated the interior of the restaurants too. It looks likes its still stuck in the 70's. Booths were dirty and had visible sweat marks on them. This location can do much better overall with its service and presentation. The staff could be more diverse and professional.
9;Worst pizza, i order chicken lovers pizza and all i got was onion and hardly you see chicken pieces. paid 20 dollars for medium size and not worth even for 5 dollars. Cheap cheap, wonder why people order food from them.
10;Each time I come to this TH, there are consistent errors with my order. Today will be the last time I come to this location.  I ask for an english muffin breakfast sandwich to be toasted, it arrives cold and stale. I returned the sandwich to the counter for a properly toasted sandwich, the staff only toasts one slice of the sandwich. I tell them that is unacceptable as now i have one toasted side and one stale and cold side. Their solution is to microwave the entire sandwich. Seriously??  The amount of time spent trying to get a toasted sandwich was rather assinine. This happens all too often here. Save yourself the trouble and visit the TH on Hwy7 and Markham Rd.
11;One of the worst customer service, no one serves me for good 5 mins, I have to repeat my order 3x then missing the soup of my order and won't admit it
12;They changed their name to yummy wok. Same unpleasant staff, same unappetizing food.. and they didn't give me sweet n sour sauce for my s&s balls I want to vomit, now I know what a cheater feels like, I'm sorry mandarin, it feels like I have an sti in my gut...If I ever spoke poorly of any other restaurant add an extra start to their rating... I'm contemplating of inducing vomiting but chemical help line says you should never do that... Rip maxPS I tossed most of the dish out.. sorry for wasting food..
13;Minimalist Chinese Take-out with a few Tables for nearby students during their Lunch-break.  Minimal as in barely any selection of clean-looking plastic forks, spoons, or knifes.No paper napkin(singular) offered or appear anywhere. Minimal as in they don't even have a garbage bin.  No Ice Tea available for the student ordering.  No Rootbeer and I had to settle for C-plus.The less than friendly Chinese Lady working the counter seemed to imitate Bobby Lee(MadTV) as he imitates a Chinese Lady.  Short, to-the-point, no-nonsense, high-pitched, order-and-get out-of-my-sight type.Complete de-ja-vu because it's identical to another place I visit once in awhile but unlike the students that visits August Moon, I do have a choice.  This place makes me wonder why Jamie Oliver isn't around this neighbourhood promoting his efforts.How identical you ask?  I'm not even going to write out the Menu or the Food.  Look at my other review and you'll know exactly.Maple Dragon:  http://www.yelp.ca/biz/maple-dragon-chinese
14;Worst service I've ever received. Called in to order, was told 40 minutes...an hour later I call to ask if it's on its way. He responds saying very soon sorry. I wait another 30 minutes when i call again to say it's been an hour and a half and I was told 40 minutes, may I ask why it's taking this long? Again he responds saying soon sorry and hangs up.After two calls, and 20 more minutes (totalling 1h 50min) it's delivered. Excited to finally have my food, after somewhat losing my appetite because of the service. My rice is split with my sweet and sour chicken, to which I paid full price to have each in their own containers. Ordering for a family of 4 that barley fed 2 people. Also, the food was cold. Why on earth would someone pay $40 for this kind of experience?I've never called to complain to a business. I call and instead of the woman providing me with any kind of solution to my half delivered, cold order... She tells me "Sorry too busy call you later" and goes to the other line. I've never come acro
15;Worst service I've ever seen. Slow half the time orders are wrong. Not polite at all. Floors are sticky in the entire store.  Was back in the store February 23 the person I was with had to wait 15 minutes for her food after she ordered before me and 3 other people. Everyone got their food before her and they ran out of popcorn chicken. When they finally made the chicken they gave it to people other then the one waiting the longest. I've never seen such incompetence.
16;Terribly painfully slow!! Plus got my order wrong totally confused staff!! Where is the manager??
17;EXTREMELY BAD SERVICE! I ordered online and made a call at 40 minutes because the food is supposed to be here. A lady picked up and said the delivery guy is on his way. Waited another 30 mins and the food is still not here. I had to cancel the order with disappointment and the lady was very rude. No apology and just hung up the phone. Don't eat here
18;Had a Combo Plate and Lunch Plate between two of us.  Tasted a little off but we thought really nothing of it.  A couple hours later we both got the runs and a twisting knot in our stomachs and a crappy after taste in our throats.  But, it didn't stay down through the evening.Had food poisoning before from Seaspray Chinese and this was the same,  Be careful what you order from Kingston Chinese.Kinda had it with Chinese places in this Area, FOOD is WAY TOO SKETCHY and a high risk of TOMEIN Sickness.
19;I have order 3 times from this place. 1st time when they first opened was ok. Had the usually chicken balls, egg rolls, fried rice and wonton soup. 2nd time was worse, same food, lesser quality. 3rd time, tried different food, BBQ ribs tasted like dog, veg chow mein was unflavored and filled with gelatin, wonton soup had a broken lid, that leaked into the bag. Each time I bought the soup, it was of lesser quality. Store looked clean I guess. Their light switch was gross. Don't waste you time with this place. Safe your money for Feathers, The Green Dragon or The Beech Tree. I think I feel sick.
20;This is the cheapest Chinese restaurant I have ever go to ! I order a general toe chicken and rice. $5.99 plus tax with a drink. Open the box it has 3 piece of chicken. Thin slice!!! This is a joke! I didn't bother to say anything.
21;This joint is as expensive and yucky as any Chinese place you'd find at a mall's food court.  You get a huge quantity of very poor quality and tasteless junk.  For the same cost, you might as well walk 100 metres east and get a great meal at Tropical Thai.  Don't make a mistake and eat here.  Run away - fast!
22;Found the fried rice greasy and the BBQ pork really dry and tough.Sea Spray down towards Main is much preferred for Canadian style Chinese.
23;I wish I can leave ZERO stars. The service is horrible and food is bland. the only good thing here is the fresh fruit, I'm sure you can pick that up at your neighborhood supermarket.
24;Informed my server of my dietary restrictions (dairy) and requested that my eggs not be made with milk.  They were and I had an allergic reaction.  Will never visit Cora's again as a result
25;Sports bar my ass. We went into here to watch the raptors game and they didn't want to play the sound out loud for fear of offending customers. Don't go here if you want to watch an important game. The vibes are just off. The service was slow and when we walked in she was on her cell phone. And we stood there forever. Also the food was so bad. Don't get the poutine. We tried it out. Never again.
26;A different experience each time I go. The only pro about this place is that they let you play your own music and you have a dance floor. However, the service SUCKS! They have one bartender serving everyone and they don't make food past 9pm. In two visits, we were told they don't have food. Also, during yesterday's visit, the speaker to play music was broken.. So we basically had super slow service, no food, and no music.. Just to get 2 shots took about 20 minutes and the place had our small group and 2 other people sitting at the bar.
27;No...I've had it with this place. I refuse to go back. Management changed sometime last year and this place took a HUGE dive...worse than before.There is ONE waitress who works the entire restaurant. The service is hugely lacking as a result.Last time I went, they had half price appetizers. We were told that they couldn't separate the bill and she brought us one large bill....oh, but SHE couldn't subtract the half price from our apps, because she needed the manager, who wasn't there to do it. So she found DIFFERENT items, that were the same cost as the half price items we got and made the bill with them....well how in hell are we supposed to divide up our bill, based on items we didn't order????!? It was actually shockingly stupid. We all guessed as best we could and threw in cash...I for one threw in the towel too. The food continues to be subpar at best, the prices are not great, even with half price and the service is horrendously terrible. This place is a waste of time and money.
28;Do not go there.  The management changed in 2013, and since then all new management seems to do is try to scam patrons and start fights with them.  The new owners husband tried to take a swing at me when I said they overcharged me.
29;This tim hortons is the worst I've ever been to. First things first, I took the time to walk there. I ordered a steeped tea only to get a coffee instead. And then ordered timbits only to find out they were stale. So I ended up walking back and switching the coffee to the tea... and got a refund for the timbits. No hassles.But when I brought the tea back, I was told there was too much milk and the tea tasted like it wasn't fresh. Never again will I go to this tim hortons.
30;I was ignored by the cashier for over five minutes, she was talking to one of her friends and made eye contact with me multiple times.  She made no move to serve me, just ignored me. I was told when I was finally served that they had no timbits, of any type, available. They also had no soup. I got a toasted bagel that wasn't even toasted. Tim's is the only place within walking distance from work. Their customer service is horrible.
31;Villa Madina uses the same space as the Thai express which I eat at frequently. Today I felt like a Greek/Mediterranean salad with chicken and remembered it was there. This place offers up heaping plates of food for the $8-10 mark. Plates consist of rice, salad and potato and your protein as per any prototypical Mediterranean restaurant but all I want is salad and protein (in my mind I think this shouldn't be a problem). Well low and behold if I want a salad and chicken I need to buy the salad package $9 and have to add chicken $3.50. Now I get potato and rice are starches and are much cheaper than fresh greens and their like but why I couldn't have a salad with chicken at the same price point as any of their other dishes was beyond me. They had a 2 skewer meal that was $11. if I had wanted my salad with two skewers I would have had to pay $16. I'm sorry half a salad is not worth the extra $5. When I questioned their logic I am advised  "in this day and age you always have to pay more". Thanks but no thanks. 
32;Ordered big crunch and poutine, get home it was a original and heavily watered gravy. Disgusting, rip off!!! Stay away!
33;Can you believe that they recently JACKED their delivery charge to FIVE BUCKS ! - so when you add tax on delivery, and a tip, you are adding ten bucks to an often AWFUL MEAL.
34;Not coming back. After seeing how the owner Becky treats her employees, i will not support her business
35;I went today to get the Noodles and beef special. The noodles were stale, like they sat there for days, the meat was tough. The person that served me used her bare hands to put some peppers on the meat, I told her no peppers please!!!I think the management changed and the food got much worse. Also I took a fork and the cashier said that I already gave you one. No tact, bad and not clean!
36;I agree with the other not-so-positive review here! The food used to be much better. Now, there is new management and they are beyond CHEAP!!! I saw the lady behind the counter pick up pickles with her glove-less hands and put them in a container! Can you say "hepatitis" anyone? Also, the same lady yelled at a boy for daring to take a napkin. He told her he was a daily customer and she just glared at him! Are the napkins coming out of her paycheque? Really disgusting and gross place! Will never go back. AVOID!!!!!!!!!!!!
